Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??/T? khóa,Thông tin xu?t b?n,Barcode
Complexity and innovation in organizations / Jose Fonseca, ,"Fonseca, Jose", ,Business Administration,"E. : Routledge, 2002",NV04310
Arts management / Derrick Chong, ,"Chong, Derrick", ,Educational culture,"E. : Routledge, 2002",NV04309
Coping with globalization / Assem Prakash, ,"Prakash, Assem",Jeffrey A. Hart,Economics,"E. : Routledge, 2000",NV04308
"Corporate bankruptcy tools, strategies, and alternatives / Grant W. Newton", ,"Newton, Grant W.", ,Business Administration,"New Jersey : John Wiley & Sons, Inc., 2003",NV04365
Sales management : a global perspective / Earl D. Honeycutt, ,Honeycutt Earl D.,"Ford  B. John;""Simintiras C. Antonis""",Marketing,"New York : Routledge, 2003","NV00731;""NV04368"""
The Cambridge controversies in capital theory / Jack Birner, ,"Birner, Jack", ,Finance and Banking,"E. : Routledge, 2002",NV02649
Competitiveness strategy in developing countries / Ganeshan Wignaraja, ,Wignaraja Ganeshan, ,Tourist Hotel,"E. : Routledge, 2003",NV02648
An open economy macroeconomics reader / Mehmet Ugur, ,"Ugur, Mehmet", ,Economics,"E. : Routledge, 2002",NV02647
Cognitive developments in economics / Salvatore Rizzello, ,"Rizzello, Salvatore", ,Economics,"E. : Routledge, 2003",NV02646
Competing economic theories essays in memory of giovanni caravale / Sergio Nistico, ,"Nistico, Sergio",Domenico Tosato,Economics,"E. : Routledge, 2002",NV02645
Programme aid and development beyond conditionality / Howard N. White, ,"White, Howard N.",Geske Dijkstra,Economics,"E. : Routledge, 2003",NV02644
Reorienting economics / Tony Lawson, ,Lawson Tony, ,Economics,"E. : Routledge, 2003",NV02643
"South Asian economic development transformation, opportunities and challenges / Moazzem Hossain", ,"Hossain, Moazzem","Iyanatul Islam;""Reza Kibria""",Economics,"E. : Routledg, 1999",NV02642
Foreign direct investment research issues / Bijit Bora, ,"Bora, Bijit", ,Finance and Banking,"E. : Routledge, 2002",NV02641
"Arms trade, security and conflict / Paul Levine", ,Levine Paul,Ron Smith,Commerce,"E. : Routledge, 2003",NV02638
Targeting development critical perspectives on the millennium development goals / Richard Black, ,Black Richard,Howard White,Economics,"E. : Routledge, 2004",NV02639
The Vietnamese economy awakening the dormant dragon / Binh Tran-Nam, ,"Tran, Binh Nam",Chi Do Pham,Economics,"E. : Routledge, 2003",NV02637
Social capital and economic development / Patrick Francois, ,Francois Patrick, ,Educational culture,"E. : Routledge, 2002",NV02636
The governance of public and non-profit organisations what do boards do? / Chris Cornforth, ,Cornforth Chris, ,Business Administration,"E. : Routledge, 2003",NV02635
A century of foreign investment in the third world / Michael J. Twomey, ,Twomey Michael J., ,inance and Banking,"E. : Routledge, 2000",NV02634
Public management and governance / Tony Bovaird, ,Tony Bovaird,Elke Loffler,Social political,"E. : Routledg, 2003",NV02673
Competition policy and global competitiveness in major Asian economies / Tran Van Hoa, ,"Tran, Van Hoa", ,Economics,"E. : Edward elgar, 2003",NV02672
"Competition, monopoly and corporate governance essays in honour of Keith Cowling / Michael Waterson", ,Waterson Michael, ,Economics,"E. : Edward elgar, 2003",NV02671
Competition and regulation in utility markets / Colin Robinson, ,Robinson Colin, ,Economics,"E. : Edward elgar, 2003",NV02670
The economics of business enterprise / Martin Ricketts, ,"Ricketts, Martin", ,Economics,"E. : Edward elgar, 2002",NV02669
Consequences of creating a market economy evidence from household surveys in central Asia / Kathryn Anderson, ,Anderson Kathryn,Richard Pomfret,Economics,"E. : Edward elgar, 2003",NV02668
"Cooperation, networks and institutions in regional innovation systems / Dirk Fornahl", ,Fornahl Dirk,Thomas Brenner,Economics,"E. : Edward elgar, 2004",NV02667
Cross-national appropriation of work systems Japanese firms in the UK / Ayse Saka, ,Ayse Saka, ,Economics,"E. : Edward elgar, 2003",NV02666
Capital liberalization in transition countries / Age F.P. Bakker, ,Bakker Age F.P.,Bryan Chapple,Finance and Banking,"E. : Edward elgar, 2003",NV02665
Changing governance of research and technology policy / Jakob Edler, ,Edler Jakob,Stefan Kuhlmann,Economics,"E. : Edward elgar, 2003",NV02663
"Competitiveness, FDI and technological activity in East Asia / Sanjaya Lall", ,Sanjaya Lall,Shujiro Urata,Economics,"E. : Edward elgar, 2003",NV02664
"Globalization, social capital and inequality / Wilfred Dolfsma", ,"Dolfsma, Wilfred",Charlie Dannreuther,Educational culture,"E. : Edward elgar, 2003",NV02662
"Globalisation, regionalism and economic activity / Philip Arestis", ,"Arestis, Philip","John McCombie;""Michelle Baddeley""",Economics,"E. : Edward elgar, 2003",NV02661
Globalization and institutions redefining the rules of the economic game / Marie - Laure Djelic, ,Djelic Marie - Laure,Sigrid Quack,Economics,"E. : Edward elgar, 2003",NV02660
A handbook of cultural economics / Ruth Towse, ,Towse Ruth, ,"Du l?ch - Khách s?n;""Arts--Economic aspects""","E. : Edward elgar, 2003",NV02659
"Knowledge economies clusters, learning and cooperative advantage / Philip Cooke", ,"Cooke, Philip", ,Economics,"E. : Routledge, 2002",NV02655
A macroeconomics reader / Brian Snowdon, ,"Snowdon, Brian",Howard R. Vane,Economics,"E. : Routledge, 1997",NV02656
Economic voting / Han Dorussen, ,Han Dorussen,Michaell Taylor,Social political,"E. : Routledge, 2002",NV02654
Economic geography of higher education knowledge infrastructure and learning regions / Roel Rutten, ,"Rutten, Roel","Elsa Kuijpers;""Frans Boekema""",Educational culture,"E. : Routledge, 2003",NV02653
Economics and reality / Tony Lawson, ,"Lawson, Tony", ,Economics,"E. : Routledge, 1997",NV02658
The crisis in economics the post-autistic economics movement: the first 600 day / Edward Fullbrook, ,"Fullbrook, Edward", ,Economics,"E. : Routledge, 2003",NV02652
The growth of the international economy 1820-2000: An instroductory text / A.G. Kenwood, ,"Kenwood, A.G.",A.L. Lougheed,Economics,"E. : Routledge, 1999",NV02657
Knowledge and innovation in regional industry an entrepreneurial coalition / Roel Rutten, ,"Rutten, Roel", ,Business Administration,"E. : Routledge, 2003",NV02680
Modern public economics / Raghbendra Jha, ,"Jha, Raghbendra", ,Finance and Banking,"E. : Routledge, 1998",NV02681
New regionalisms in the global political economy / Shaun Breslin, ,Breslin Shaun,"Nicola Philips;""Christopher W. Hughes""",Economics,"E. : Routledge, 2002",NV02682
Geography of production and economic integration / Miroslav N. Jovanovie, ,Jovanovic Miroslav N., ,Economics,"E. : Routledge, 2001",NV02683
The foundations of economic method / Lawrence A. Boland, ,"Boland, Lawrence A.", ,Economics,"E. : Routledge, 2003",NV02684
General equilibrium problems and prospects / Fabio Petri, ,"Petri, Fabio",Frank Hahn,Economics,"E. : Routledge, 2003",NV02685
Global economic institutions / Willem Molle, ,"Molle, Willem", ,"Lu?t;""Globalization--Economic aspects""","NewYork. : Routledge, 2003",NV02686
"The economics of innovation, new technologies and structural change / Cristiano Antonelli", ,Antonelli Cristiano, ,Economics,"E. : Routledge, 2003",NV02687
Industrial and labour market policy and performance / Dan Coffey, ,Coffey Dan,Carole Thornley,Labor economics,"E. : Routledge, 2003",NV02688
Development policy in the twenty-first century / Ben Fine, ,Fine Ben,"Costas Lapavitsas;""Jonathan Pincus""",Economics,"E. : Routledge, 2003",NV02689
Microeconomic policy / S.I. Cohen, ,Cohen S.I, ,Economics,"E. : Routledge, 2001",NV02674
Health economics an international perspective / Barbara McPake, ,"McPake, Barbara","Lilani Kumaranayake;""Charles Normand""",Tourist Hotel,"E. : Routledge, 2002",NV02675
Development of economic analysis / Ingrid Hahne Rima, ,Rima Ingrid Hahne, ,Economics,"E. : Routledge, 2001",NV02676
Macroeconomics for developing countries / Raghbendra Jha, ,Raghbendra Jha, ,Economics,"E. : Routledge, 2003",NV02677
Organization and eonomic behavior / Anna Grandori, ,Anna Grandori, ,Educational culture,"E. : Routledge, 2001",NV02678
"Economics in transition a guide to China, Cuba, Mongolia, North Korea and Vietnam at the turn of the twenty-first century / Ian Jeffries", ,Jeffries Ian, ,Economics,"E. : Routledge, 2001",NV02679
Introduction to development economics / Subrata Ghatak, ,Ghatak Subrata, ,Economics,"E. : Routledg, 2003",NV02700
International economics / Robert M. Dunn, ,Dunn Robert M.,John H. Mutti,Economics,"E. : Routledge, 2004",NV02699
Managerial economics a game theoretic approach / Timothy C.G. Fisher, ,Fisher Timothy C.G.,Robert G. Waschik,Economics,"E. : Routledge, 2002",NV02698
Managing public services implementing changes / Tony L. Doherty, ,"Doherty, Tony L.",Terry Horne,Business Administration,"E. : Routledge, 2002",NV02701
The foundations of social research / Michael Crotty, ,Crotty Michael, ,Educational culture,"E. : Sage publications, 2004",NV02702
David Ricardo critical responses. Volume : 2 / Terry Peach, ,"Peach, Terry", ,Economics,"E. : Routledge, 2003",NV02693
"The Asia recovery issues and aspects of development, growth, trade and investment / Tran Van Hoa", ,"Tran, Van Hoa", ,Economics,"E. : Edward elgar, 2001",NV02695
Economic principles for education / Clive R. Belfield, ,"Belfield, Clive R.", ,Economics,"E. : Edward elgar, 2000",NV02691
Development economics and structuralist macroeconomics / Amitava Krishna Dutt, ,Dutt Amitava Krishna,Jaime Ros,Economics,"E. : Edward elgar, 2003",NV02690
"Culture, institutions and economic development / Michael Keating", ,"Keating, Michael","Kris Deschouwer;""John Loughlin""",Educational culture,"E. : Edward elgar, 2003",NV02714
"Equality, rights and the autonomous self / Timothy P. Roth", ,"Roth, Timothy P.", ,Philosophy,"E. : Edward elgar, 2004",NV02715
"Economic welfare, international business and global institutional change / Ram Mudambi", ,Mudambi Ram,"Giuseppe Sobbrio;""Pietro Navarra""",Economics,"E. : Edward elgar, 2003",NV02716
Embracing the knowledge economy / Gerd Schienstock, ,"Schienstock, Gerd", ,Educational culture,"E. : Edward elgar, 2004",NV02717
Dynamic economic models in discrete time theory and empirical applications / Brian S. Ferguson, ,Ferguson Brian S.,G.C.Lim,Economics,"E. : Edward elgar, 2003",NV02718
"Building regulation, market alternatives, and allodial policy / John M. Cobin, PhD", ,"Cobin, John M.", ,Law,"New York : Authors Choice Press, 2001",NV04353
Managing human resources in asia-pacific / Pawan S. Budhwar, ,Budhwar Pawan S., ,Business Administration,"E. : Routledge, 2004",NV04315
Human resource management in construction projects strategic and operational approaches / Martin Loosemore, ,"Loosemore, Martin",Helen Lingard,Natural Sciences and Technology,"New York : Spon Press, 2003",NV04354
Design management case studies / Robert Jerrard, ,"Jerrard, Robert",Jack Ingram,Business Administration,"New York : Routledge, 2002",NV04355
Globalization and social change people and places in a divided world / Diane Perrons, ,"Perrons, Diane", ,Educational culture,"E. : Routledge, 2004",NV04314
HRD in a complex world / Monica Lee, ,Lee Monica, ,Computer science,"New York : Routledge, 2003",NV04356
Interpersonal skills at work second edition / Jonh Hayes, ,Hayes Jonh, ,Business Administration,"New York : Routedge, 2002",NV04364
Managing projects in health and social care / Vivien Martin, ,Martin Vivien, ,"Economics;""Managing projects""","New York : Routledge, 2002",NV04366
Key issues in organizational communication / Dennis Tourish, ,"Tourish, Dennis",Owen Hargie,Business Administration,"New York : Routledge, 2004",NV04363
Perspectives on public relations research / Danny Moss, ,"Moss, Danny","Vercic Dejan;""Warnaby Gary""",Natural sciences and Technology,"New York : Routledge, 2000",NV04370
Managing the rick of workplace stress health and safety hazards / Sharon Clarke, ,Clarke Sharon,Cary L.Cooper,Business Administration,"New York : Routledge, 2004",NV04369
Real estate development principles and process / Mike E. Miles, ,"Miles, Mike E.","Gayle Berens;""Marc A. Weiss""","Commerce;""estate development""","Washington : Urban land Institute, 2004",NV05030
Real estate market analysis a case study approach / Adrienne Schmitz, ,"Schmitz, Adrienne",Deborah L. Brett,"Commerce;""Market analysis""","Washington : Urban land Institute, 2001",NV04403
"Retailing in the European union structures, competition and performance / Stewart Howe", ,Howe Stewart, ,"Business Administration;""Retailing""","E. : Routledge, 2003",NV07159
Human resource management and occupational health and safety / Carol Boyd, ,Carol Boyd, ,"Social political;""Human resource""","E. : Routledge, 2003",NV04313
HRD in small organisations research and practice / Jim Stewart, ,Stewart Jim,Graham Beaver,"Business Administration;""small organisations""","USA. : Routledge, 2004",NV04312
Ethnic business chinese capitalism in southeast Asia / Jomo K. S., ,"Jomo, K. S.",Brian C. Folk,"Economics;""Business""","USA. : RoutledgeCurzon, 2000",NV04311
Health information management integrating information techonology in health care work / Marc Berg, ,Berg Marc,"Cé Bergen;""Enrico Coiera""","Economics;""Managemen""","USA. : Routledge, 2004",NV04307
Globalizing human resource management / Paul Sparrow, ,"Sparrow, Paul","Chris Brewster;""Hilary Harris""","Business Administration;""Human resource""","E. : Routledge, 2004",NV04316
Energy in a competitive market / Lester C. Hunt, ,"Hunt, Lester C.", ,"Real Estate;""competitive market""","E. : Edward elgar, 2003",NV02784
Emerging teleccommunications networks / Gary Madden, ,"Madden, Gary", ,"Business Administration;""telecommunications""","USA. : Edward elgar, 2003",NV06144
Development finance / P.K. Rao, ,Rao P.K., ,"Finance and Banking;""Finance""","USA. : Springer, 2003",NV04883
Development policy as public finance / Clive Bell, ,Bell Clive, ,"Economics;""public finance""","E. : Oxford, 2003",NV04898
Developing an annuity market in europe / Elsa Fornero, ,Fornero Elsa,Elisa Luciano,"Finance and Banking;""annuity market"";""europe""","USA. : Edward elgar, 2004",NV04895
Stock-market psychology how people value and trade stocks / Karl-Erik Warneryd, ,"Warneryd, Karl-Erik", ,"Finance and Banking;""stock market""","E. : Edward Elga, 2001",NV04901
So you really want to be an arbitrator / D. Mark Cato, ,"Cato, D.Mark", ,"Law;""arbitrator""","E. : London Hong kong, 1999",NV04899
"Quantitative portfolio optimisation, asset allocation and risk management / Mikkel Rasmussen", ,Rasmussen Mikkel, ,"Business Administration;""Quantitative"";""risk management""","E. : Palgrave, 2003",NV04903
Working capital life and labour in contemporary london / Nick Buck, ,"Buck, Nick","Peter Hall;""Ian Gordon""","Educational culture;""capital""","USA. : John Wiley & Sons, 2002",NV04760
Professionalism and accounting rules / Brian P. West, ,"West, Brian P.", ,"Accounting;""accounting rules""","New York : Routledge, 2003",NV03194
Monetary economics / Jagdish Handa, ,"Handa, Jagdish", ,"Finance and Banking;""Monetary""","New York : Routledge, 2000",NV05053
"Monetary history, exchange rates and financial markets essay in honour of charles goodhart: volume 2 / Paul Mizen", ,"Mizen, Paul", ,"Finance and Banking;""Finance markets""","Northampton : Edward elgar, 2003",NV05052
Adaption-innovation in the context of diversity and change / M.J. Kirton, ,"Kirton, M.J.", ,Philosophy,"E. : Routledge, 2003",NV03654
"Charity shops retaiting, consumption and society / Suzanne Horne", ,Horne Suzanne,Avril Maddrell,"Commerce;""shops retaiting""","E. : Routledge, 2002",NV03676
Consuming people from political economiy to theaters of consumption / A.Fuat Firat, ,Firat A.Fuat,Nikhilesh Dholakia,"Economics;""Consuming""","E. : Routledge, 1998",NV03677
Consumer behaviour analysis critical perspectives on business and management. Volume 3 / Gordon R. Foxall, ,"Foxall, Gordon R.", ,"Marketing;""Consumer behaviour""","E. : Routledge, 2002",NV03647
Consumer behaviour analysis critical perspectives on business and management. Volume 2 / Gordon R. Foxall, ,"Foxall, Gordon R.", ,Marketing,"E. : Routledge, 2002",NV03648
Consumer behaviour analysis critical perspectives on business and management. Volume 1 / Gordon R. Foxall, ,"Foxall, Gordon R.", ,"Marketing;""Consumer behaviour""","E. : Routledge, 2002",NV03649
The complete guide to buying and selling apartment buidings / Steve Berges, ,"Berges, Steve", ,"Real Estate;""selling apartment""","USA. : John Wiley&Sons, 2005",NV03645
"Doing research projects in marketing, management and consumer research / Chris Hackley", ,Hackley Chris, ,"Business Administration;""marketing, management""","E. : Routledge, 2003",NV03643
International strategic marketing a european perspective / Marilyn A.Stone, ,A.Stone Marilyn,J.B. McCall,"Marketing;""strategic marketing""","E. : Routledge, 2004",NV03644
Weak versus strong sustainability / Eric Neumayer, ,Neumayer Eric, ,"Economics;""exploring""","E. : Edward elgar, 2003",NV02728
Welfare for the unemployed in britain and germany / Frances McGinnity, ,McGinnity Frances, ,Economics,"E. : Edward Elga, 2004",NV02727
Arbitration act 1996 / Robert Merkin, ,"Merkin, Robert", ,Law,"London. : The Headway Britain, 2000",NV02726
Accountability and effectiveness evaluation in non-profit organizations / James Cutt, ,Cutt James,Vic Murray,Business Administration,"E. : Routledge, 2000",NV02708
Urban and regional prosferity in a globalised new economy / Roger Sugden, ,Sugden Roger,"Rita Hartung Cheng;""G. Richard Meadows""",Economics,"E. : Edward elgar, 2003",NV02705
Urban and regional trasportation modeling / Der-Horng Lee, ,Der-Horng Lee, ,Business Administration,"E. : Edward elgar, 2004",NV02704
Becoming qualitative researchers: An introduction / Corrine Glesne, ,Corrine Glesne, ,Educational culture,"E. : Longman, 1999",NV02713
The process of economic development / James M. Cypher, ,Cypher James M.,James L. Dietz,Economics,"E. : Routledge, 2004",NV02712
The philosophy of keynes's economics / Jochen Runde, ,Runde Jochen,Sohei Mizuhara,Economics,"E. : Routledge, 2003",NV02710
The handbook of globalisation / Jonathan Michie, ,Michie Jonathan, ,Economics,"E. : Edward elgar, 2003",NV02709
The theory of economic growth / Neri Salvadori, ,"Salvadori, Neri", ,Economics,"E. : Edward Elga, 2003",NV02719
The new competition for inward investment / Nicholas Phelps, ,"Phelps, Nicholas",Philip Raines,Finance and Banking,"E. : Edward elgar, 2003",NV02743
The innovation policy of the european union from government to governance / Susana Borrás, ,"Borrás, Susana", ,Law,"E. : Edward elgar, 2003",NV02607
The korean economy beyond the crisis / Duck-Koo Chung, ,Duck-Koo Chung,Barry Eichengreen,Economics,"E. : Edward Elga, 2004",NV02725
The evolutionary analysis of economic policy / Pavel Pelikan, ,"Pelikan, Pavel",Gerhard Wegner,Economics,"E. : Edward elgar, 2003",NV02724
The evolving economy / Ulrich Witt, ,Witt Ulrich, ,Economics,"E. : Edward elgar, 2003",NV02723
The future of economic growth / Robert Boyer, ,"Boyer, Robert", ,Economics,"E. : Edward elgar, 2004",NV02720
The role of international institutions in globalisation the challenges of reform / John-ren Chen, ,John-ren Chen, ,Economics,"E. : Edward Elgar, 2003",NV02730
Business research methods / William G. Zikmund, ,"Zikmund, William G.", ,Business Administration,"USA. : Thomson South-Western, 2003",NV02729
"The economics of schooling and school quality. volume I: Labor markets, distrlbution and growt / Eric A. Hanushek", ,Hanushek Eric A., ,Economics,"E. : An Elgar reference collection, 2003",NV02735
The economics of social policy / Peter G. Rosner, ,Peter G. Rosner, ,Educational culture,"E. : Edward elgar, 2003",NV02734
Shadow prices for project appraisal theory and practice / Elio H. Londero, ,"Londero, Elio H.",Héctor Cervini,Economics,"E. : Edward elgar, 2003",NV02733
The economics of water management in developing countries / Phoebe Koundouri, ,"Koundouri, Phoebe","Timothy M. Swanson;""Panos Pashardes""",Real Estate,"E. : Edward elgar, 2003",NV02732
The economics of knowledge sharing a new institutional approach / Ernst Helmstadter, ,"Helmstadter, Ernst", ,Economics,"E. : Edward elgar, 2003",NV02738
The dynamics of innovation clusters a study of the food industry / Magnus Lagnevik, ,"Lagnevik, Magnus","Anders Lareke;""Ingegerd Sjoholm""",Natural Sciences and Technology,"E. : Edward elgar, 2003",NV02739
Sustainable fiscal policy and economic stability: Theory and practice / Philippe Burger, ,Burger Philippe, ,Business Administration,"E. : Edward elgar, 2003",NV02740
The economics of gambling / Leighton Vaughan Williams, ,"Williams, Leighton Vaughan", ,"Economics;""Economics"";""Gambling""","E. : Routledge, 2003",NV02741
SMES in the age of globalization / David B.Audretsch, ,Audretsch David B., ,"Economics;""Globalization""","E. : An Elgar reference collection, 2003",NV02742
The distribution of tax burdens / Don Fullerton, ,"Fullerton, Don",Gilbert E. Metcalf,"Finance and Banking;""Distribution"";""Tax""","E. : An Elgar reference collection, 2003",NV02737
Trade policies in russia the role of local and regional governments / Organisation fof economic co-operation and development, ,Organisation fof economic co-operation and development, ,"Commerce;""Trade russia""","Paris : Organisation fof economic co-operation and development, 200",NV09725
"Trade, the balance of payments and exchange rate policy in developing countries / A. P. Thirlwall", ,Thirlwall A. P., ,Commerce,"Northampton : Edward elgar, 2003",NV05399
The economics and ideology of free trade an historical review / Leonard Gomes, ,Gomes Leonard, ,"Commerce;""Free trade""","E. : Edward elgar, 2003",NV05394
Intra-industry trade / Peter J. Lloyd, ,Lloyd Peter J.,Herbert G. Grubel,"Commerce;""industry trade""","Northampton : An Elgar reference collection, 2003",NV05398
The international handbook on financial reform / Maximilian J.B. Hall, ,Hall Maximilian J.B., ,"Finance and Banking;""Financial""","E. : Edward elgar, 2003","NV04841;""NV04842"""
Accounting best practices / Steven M. Bragg, ,"Bragg, M. Steven", ,Accounting,"New York. : John Wiley & Sons, 2004",NV03232
Accounting information systems / Marshall B. Romney, ,"Romney, Marshall B.",Paul John Steinbart,Accounting,"USA. : Prentice Hall, 2003",NV03237
Auditing and assurance services / David N. Richiute, ,"Richiute, David N.", ,"Accounting;""Auditing""","New York : South-Western college publishing, 2001","NV03150;""NV03239"""
Accounting theory / Jayne Godfrey, ,"Godfrey, Jayne","Allan Hodgson;""Scott Holmes""",Accounting,"New York. : John Wiley & Son Australia, 2000",NV03221
Asset pricing theory and tests volume I / Robert R. Grauer, ,Grauer Robert R., ,"Finance and Banking;""asset pricing theory""","E. : Elgar Reference Collection, 2003",NV04609
"Banking, capital markets and corporate governance / Hiroshi Osano", ,Osano Hiroshi,Toshiaki Tachibanaki,Finance and Banking,"London : Palgrave, 2001",NV05022
Computational intelligence in economics and finance / Shu-Heng Chen, ,Chen Shu-Heng,Paul P. Wang,Economics,"New York : Springer, 2004",NV05021
"Construction funding the process of real estate development, appraisal, and finance / Nathan S. Collier", ,"Collier, Nathan S.","Courtland A. Collier;""Don A. Halperin""",Natural science and Technology,"New York : John Wiley & Son, 2002",NV05025
Commercial bank financial management in the financial-services industry / Joseph F. Sinkey, ,Sinkey Joseph F., ,Finance and Banking,"E. : Prentice Hall, 2002",NV05024
Capital flows without crisis? Reconciling capital mobility and economic stability / Dipak Dasgupta, ,Dasgupta Dipak,"Marc Uzan;""Dominic Wilson""",Finance and Banking,"New York : Rutledge, 2001",NV05029
"Central banking systems compared the ECB, the pre-euro bundesbank, and the federal reserve system / Emmanuel Apel", ,Apel Emmanuel, ,Finance and Banking,"New York : Routledge, 2003",NV05028
Auditing: A risk analysis approach / Larry F. Konrath, ,"Konrath, Larry F.", ,Accounting,"USA. : South-western, 2002","NV03187;""NV03188"""
As level and a level accounting / Harold Randall, ,"Randall, Harold", ,Accounting,"E. : Cambridge University Press, 2005",NV03234
Advanced accounting / Floyd A. Beams, ,"Beams, Floyd A.",Joseph H. Anthony,Accounting,"New York : Prentice Hall International, 2003",NV03202
Accounting and emancipation / Sonja Gallhofer, ,"Gallhofer, Sonja",Jim Haslam,Accounting,"New York. : Routledge, 2003",NV03216
Auditing assurance & risk / W. Robert Knechel, ,"Knechel, W. Robert", ,"Accounting;""Auditing"";""Risk"";""Assurance""","New York : South-Western college publishing, 2001","NV03133;""NV03233"""
Banking/trading-operations management / Gerrit Jan Van Den Brink, ,Brink Gerrit Jan Van Den, ,"Finance and Banking;""Banking"";""management""","E. : Palgrave, 2003",NV04923
"Controversiers in monetary economics, revised edition / John Smithin", ,Smithin John, ,"Finance and Banking;""monetary economic""","E. : Edward elgar, 2003",NV04902
"The foreign economic policies of Singapore, South Korea and Taiwan / Christopher M. Dent", ,"Dent, Christopher M", ,Economics,"E. : Edward elgar, 2002",NV01311
The new knowledge economy in Europe a strategy for international competitiveness and social cohesion / Maria João Rodrigues, ,"Rodrigues Maria, João", ,Educational culture,"E. : Edward elgar, 2002",NV01312
The European macroeconomy: Growth integration and cycles 1500-1913 / Lee A.Craig, ,Craig Lee A,Douglas Fisher,Economics,"E. : Edward elgar, 2000",NV01313
Banking reform in India and China / Lawrence Sáez, ,Sáez Lawrence, ,Finance and Banking,"USA. : Palgrave, 2004",NV06748
Creative technological change the shaping of technology and organisations / Ian McLoughlin, ,"McLoughlin, Ian", ,Business Administration,"New York : Routledge, 1999",NV01488
The future of Europe revisited / Peter Coffey, ,Peter Coffey, ,Social political,"E. : Edward elgar, 2003",NV01310
Manufacturing competitiveness in asia haw internationally competitive national firms and industries developed in east asia / Jomo K.S., ,K. S. Jomo, ,Economics,"New York : Routledge Curzon, 2003",NV01490
International yearbook of industrial statistics 2004, , , ,Statistical,"E. : Edward Elgar Pulishing, 2004",NV05343
Understanding statistics and market research data / David Mort, ,"Mort, David", ,Statistical,"E. : Europa Publications, 2003",NV05340
Advertising promotion supplemental aspects of integrated marketing communications / Terence A. Shimp, ,"A.Shimp, Terence", ,Marketing,"USDA. : The Dryden Press, 2000",NV03636
The elgar dictionary of economic quotations / Charles Robert McCann, ,Cann Charles Robert Mc, ,Economics,"E. : Edward elgar, 2003",NV06368
Understanding the small family business / Denise E.Fletcher, ,Denise E.Fletchera, ,Economics,"New York : Routledge, 2002",NV04357
Asset & liability management a guide to value creation and risk control / Jean Dermine, ,Dermine Jean,Youssef Bissada,Finance and Banking,"New York : Prentice Hall, 2002",NV04358
The economic institutions of higher education economic theories of university behavior / J. Patrick Raines, ,J.Patrick Raines,Charles G. Leathers,Economics,"E. : Edward elgar, 2003",NV01664
The economics of higher education / Clive R. Belfield, ,rBelfield Clive R.,Henry M. Levin,Educational culture,"Northampton. : Clive R.Belfild and Henry, 2003",NV01640
Economic instruments of pollution control in an imperfect world / Tingsong Jiang, ,JiangTingsong, ,Economics,"USA. : Edward elgar, 2003",NV03790
Economics and ecology in agriculture and marine production / Clem Tisdell, ,Tisdell Clem, ,"Economics;""Agriculture action evironment""","E. : Edward elgar, 2003",NV03852
Does environmental policy work the theory and practice of outcomes assessment / David E. Ervin, ,Ervin David,"Marie Leigh Livingston;""James R. Kahn""",Economics,"USA. : Edward elgar, 2003",NV03792
The international yearbook of environmental and resource economics 2002/2003 : A survey of current issues / Tom Tietenberg, ,"Tietenberg, Tom","Henk Folmer;""New horizons in environmental economics""",Real Estate,"USA. : Edward elgar, 2002",NV03793
The environmentalism of the poor : A study of ecological conflicts and valuation / Joan Martinez-Alier, ,"Martinez - Alier, Joan", ,Real Estate,"USA. : Edward elgar, 2002",NV03796
The economic analysis of environmental policy and law an introduction / Michael Faure, ,"Faure, Michael",Goran Skogh,"Economics;""Environment""","E. : Edward elgar, 2003",NV03384
The environment in corporate management new directions and economic insights / Jean - Baptiste Lesourd, ,Lesourd Jean-Baptiste,Steven G.M. Schilizzi,Business Administration,"USA. : Edwar Elgar, 2001",NV03798
The industrial dynamics of the new digital economy / Jens Froslev Christensen, ,Christensen Jens Froslev,Peter Maskell,Commerce,"E. : Edward elgar, 2003",NV06100
Econometrics and data analysis for developing countries / Chandan Mukherjee, ,Mukherjee Chandan,"Marc Wuyts;""Howard White""","Economics;""Econometrics"";""Data""","E. : Routledge, 1998",NV06102
Basic mathematics for economists / Mike Rosser, ,"Rosser, Mike", ,"Mathematical Economics;""Basic mathematics""","E. : Routledge, 2003",NV06126
Econometrics a practical approach / H.R. Seddighi, ,H.R. Seddighi,"K.A. Lawler;""A.V. Katos""","Economics;""Econometrics""","E. : Routledge, 2000",NV06101
Incomplete information: Rough set analysis / Ewa Orlowska, ,Orlowska Ewa, ,Computer science,"Germany. : Physica - Verlag, 1998",NV06123
Information security polices and actions in modern integrated systems / Mariagrazia Fugini, ,"Fugini, Mariagrazia",Carlo Bellettini,Computer science,"USA. : Idea Group Pubishing, 2004",NV06122
"Incomplete information:structure, inference, complexity / Stéphane P. Demri", ,"Demri, Stéphane P",Ewa S. Orlowska,Computer science,"Frence. : Springer, 2002",NV06121
How to promote your web site effectively / Mark Kerr, ,Kerr Mark, ,Natural Sciences and Technology,"E. : Aslib/ Imi, 1999",NV06008
E - Learning in the 21st century: A framework for resrarch and practice / D.R. Garrison, ,"Garrison, D.R.",Terry Anderson,Educational culture,"E. : Routledge Falmer, 2003",NV06120
