Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??,Thông tin xu?t b?n,Barcode
"Giáo trình. Qu?n tr? tài chính qu?c t? / PGS, TS. Nguy?n V?n Thanh", ,"Nguy?n, V?n Thanh, PGS.TS.", ,"Ngân hàng - Tài chính;""Qu?n tr? tài chính qu?c t?"";""Qu?n tr? tài chính"";""Tài chính qu?c t?"";""Giáo trình""","Hà N?i : Th?ng kê, 2011","VV00001938;""VV00001937"";""VV00001936"""
"Chính sách phát tri?n công nghi?p h? tr? c?a Vi?t nam / GS, TS. Hoàng V?n Châu", ,"Hoàng, V?n Châu, GS.TS.", ,"Kinh t? công nghi?p;""Công nghi?p"";""H? tr?"";""Chính sách"";""Vi?t nam""","Hà N?i : Truy?n thông & Thông tin, 2011","Vb/92 13724;""Vb/92 13721"";""Vb/92 13722"";""Vb/92 13723"""
Th??ng m?i ?i?n t? / Bùi V?n Danh, ,"Bùi, V?n Danh", ,"Kinh t? th??ng m?i;""Th??ng m?i ?i?n t?""","Hà N?i : Ph??ng ?ông, 2011","VV00009606;""VV00009605"";""VV00009604"";""VV00009603"";""VV00009602"";""VV00009601"";""VV00009600"";""VV00009599"""
Ph?ng s? ?? d?n ??u / James M. Strock, ,"Strock, James M.","Thu Huy?n, d?ch","Khoa h?c qu?n lý;""Lãnh ??o"";""Th? k? 21""","Hà N?i : Th?i ??i, 2011","VV00007669;""VV00007668"";""VV00007667"";""VV00007666"";""VV00007665"";""VV00007664"";""VV00007663"";""VV00007662"";""VV00007661"""
K? toán tài chính. Ph?n 2 / Nguy?n Kh?c Hùng, ,"Nguy?n, Kh?c Hùng", ,"K? toán - Ki?m toán;""K? toán"";""K? toán tài chính""","Hà N?i : Ph??ng ?ông, 2011","VV00003387;""VV00003386"";""VV00003385"""
Chính sách gi?m nghèo ? Vi?t nam ??n n?m 2015 (sách chuyên kh?o) / TS. Nguy?n Th? Hoa, ,"Nguy?n, Th? Hoa.", ,"Xã h?i h?c;""Gi?m nghèo"";""Chính sách"";""Vi?t nam""","Hà N?i : Truy?n thông & Thông tin, 2011","VV00010966;""VV00010965"";""VV00010964"";""VV00010963"""
Bình lu?n b? lu?t hình s? c?a n??c C?ng hòa xã h?i ch? ngh?a Vi?t nam / Ths. ?inh Th? Hùng, ,"?inh, Th? Hùng, ThS.","Tr?n, V?n Biên, ThS.","Lu?t;""Bình lu?n b? lu?t hình s?"";""B? lu?t hình s?"";""Vi?t Nam""","Hà N?i : Lao ??ng, 2011",Vb/92 13753
Kinh t? môi tr??ng / Ths. ?oàn Th? Lan H??ng, ,"?oàn, Th? Lan H??ng, ThS.", ,"Kinh t? môi tr??ng;""Kinh t? môi tr??ng""","Hà N?i : Truy?n thông & Thông tin, 2011","Vb/92 13755;""Vb/92 13756"";""Vb/92 13757"""
M & A sáp nh?p và mua l?i doanh nghi?p ? Vi?t nam / Ph?m Trí Hùng, ,"Ph?m, Trí Hùng", ,"Kinh t? doanh nghi?p;""Doanh nghi?p"";""M&A"";""Mua l?i"";""Sáp nh?p""","Hà N?i : L?XH, 2011","VV00004467;""VV00004466"";""VV00004465"";""VV00004464"";""VV00004463"";""VV00004462"";""VV00004461"""
"Qu?n tr? h?c. Dùng cho sinh viên ??i h?c, cao h?c kh?i QTKD kinh t? và các nhà qu?n tr? / TS. Bùi V?n Danh", ,"Bùi, V?n Danh","Lê, Quang Khôi;""Nguy?n, V?n D?ng""","khoa h?c qu?n lý;""Qu?n tr? h?c""","Hà N?i : Lao ??ng, 2011","VV00007678;""VV00007677"";""VV00007676"";""VV00007675"";""VV00007674"";""VV00007673"";""VV00007672"";""VV00007671"";""VV00007670"""
"K?t qu? s?n xu?t kinh doanh c?a doanh nghi?p Vi?t nam n?m 2009. T?p 1: K?t qu? s?n xu?t kinh doanh c?a doanh nghi?p Vi?t nam n?m 2007, 2008, 2009 theo phân ngành kinh t? VSIC 1993", , , ,"Th?ng kê kinh t?;""Doanh nghi?p Vi?t Nam"";""S?n xu?t kinh doanh"";""Th?ng kê kinh t? kinh t?"";""Th?ng kê kinh t? kinh t?""","Hà N?i : Th?ng kê, 2011","VV00006645;""VV00006644"""
"Qu?n lý chi tiêu công (sách chuyên kh?o) / PGS, TS. Lê Chi Mai", ,"Lê, Chi Mai", ,"Ngân hàng - Tài chính;""Qu?n lý chi tiêu công"";""Chi tiêu công""","Hà N?i : CTQG, 2011","Vb/92 13795;""VV00001934"";""VV00001933"";""VV00001932"";""VV00001935"";""VV00001930"";""VV00001929"";""VV00001928"";""VV00001931"""
Niên giám th?ng kê Hà n?i 2010 - Hanoi statistical yearbook 2010, , , ,"Th?ng kê kinh t?;""Niên giám Th?ng kê kinh t? Hà N?i 2010"";""Niên giám Th?ng kê kinh t?"";""Th?ng kê kinh t? kinh t?"";""Th?ng kê kinh t? kinh t?""","Hà N?i : C?c th?ng kê, 2011","VV00006735;""VV00006734"";""VV00006733"";""VV00006732"";""VV00006731"";""VV00006647"";""VV00006646"""
Niên giám th?ng kê - Statistical yearbook of Vietnam 2010, , , ,"Th?ng kê kinh t?;""Niên giám Th?ng kê kinh t?"";""Niên giám Th?ng kê kinh t? 2010"";""Niên giám"";""Th?ng kê kinh t? kinh t?"";""Th?ng kê kinh t? kinh t?""","Hà N?i : Th?ng kê, 2011","VV00006643;""VV00006642"";""VV00006641"";""VV00006640"";""VV00006639"";""VV00006638"";""VV00006637"""
Trách nhi?m xã h?i trong ?i?u ki?n kinh t? th? tr??ng. (K? y?u h?i th?o khoa h?c qu?c t?) / Ph?m V?n ??c, ,"Ph?m, V?n ??c,", ,"Xã h?i h?c;""Trách nhi?m xã h?i"";""Kinh t? th? tr??ng""","Hà N?i : KHXH, 2011","VV00010969;""VV00010968"";""VV00010967"""
Biên gi?i trên ??t li?n Vi?t nam - Trung qu?c /  V? D??ng Ninh, ,"V?, D??ng Ninh", ,"Chính tr? xã h?i;""Biên gi?i ??t li?n Vi?t Nam - Trung Qu?c"";""Biên gi?i ??t li?n"";""Vi?t Nam - Trung Qu?c""","Hà N?i : CAND kê, 2011","VV00000394;""VV00000393"";""VV00000392"""
Giáo trình. Marketing du l?ch / Hà Nam Khánh Giao, ,"Hà, Nam Khánh Giao", ,"Du l?ch - Khách s?n;""Marketing du l?ch"";""Giáo trình""","Tp. H? Chí Minh : T?ng h?p, 2011","VV00000242;""VV00000241"";""VV00000240"""
H??ng d?n s? d?ng ch??ng trình k? toán hành chính s? nghi?p IMAS, , , ,"K? toán - Ki?m toán;""IMAS"";""K? toán hành chính s? nghi?p"";""K? toán""","Hà N?i : Tài chính, 2011","VV00003389;""VV00003388"""
T??ng lai c?a ngh? qu?n tr? nhân s? / Michael Losey, ,Losey Michael,"Sue Meisinger;""Dave Ulrich""","Kinh t? lao ??ng;""Qu?n tr? nhân s?"";""T??ng lai"";""Ngh? nhân s?""","Hà N?i : Th?i ??i, 2011","VV00012675;""VV00012674"";""VV00012673"";""VV00012672"";""VV00012671"";""VV00012670"";""VV00012669"";""VV00012668"";""VV00012667"""
Thanh toán qu?c t? / Ths.Thân Tôn Tr?ng Tín, ,"Thân, Tôn Tr?ng Tín","Lê, Th? M?n","Ngân hàng - Tài chính;""Thanh toán qu?c t?""","Hà N?i : L?XH, 2011","VV00001941;""VV00001940"";""VV00001939"""
L?ch s? c?n - hi?n ??i Vi?t Nam . M?t s? v?n ?? nghiên c?u / ?inh Xuân Lâm, ,"?inh, Xuân Lâm", ,"L?ch s?;""Vi?t Nam"";""L?ch s? hi?n ??i"";""L?ch s? c?n ??i""","Hà N?i : Th? gi?i, 1998",Vc 21586/92
"Th? tr??ng ch?ng khoán (Tái b?n l?n th? nh?t có s?a ch?a, b? sung) / Lê Hoàng Nga", ,"Lê, Hoàng Nga", ,"Ngân hàng - Tài chính;""Th? tr??ng ch?ng khoán""","Hà N?i : Tài chính, 2011","Vb/92 13849;""VV00001948"";""VV00001947"";""VV00001946"";""VV00001949"";""VV00001944"";""VV00001943"";""VV00001942"";""VV00001945"""
V?n minh v?t ch?t c?a ng??i Vi?t / Phan C?m Th??ng, ,"Phan, C?m Th??ng", ,"V?n hóa xã h?i;""V?n minh"";""V?t ch?t"";""Ng??i Vi?t""","Hà N?i : Tri th?c, 2011","Vb/92 13858;""Vb/92 13856"";""Vb/92 13857"""
Giáo trình Dân s? và phát tri?n (Dùng cho sinh viên các tr??ng ??i h?c và cao ??ng) / Nguy?n Nam Ph??ng, ,"Nguy?n, Nam Ph??ng", ,"Kinh t? lao ??ng;""Dân s?"";""Phát tri?n"";""Giáo trình""","Hà N?i : ?H.KTQD, 2011","VV00012695;""VV00012694"";""VV00012693"";""VV00012692"";""VV00012691"";""VV00012690"";""VV00012689"";""VV00012688"";""VV00012687"";""VV00012686"";""VV00012685"";""VV00012684"";""VV00012683"";""VV00012682"";""VV00012681"";""VV00012680"";""VV00012679"";""VV00012678"";""VV00012677"";""VV00012676"""
Giáo trình. Nguyên lý và tiêu chu?n th?m ??nh giá / TS. V? Minh ??c, ,"V?, Minh ??c, TS.", ,"Giá c?;""Nguyên lý th?m ??nh giá"";""Th?m ??nh giá"";""Tiêu chu?n th?m ??nh giá"";""Giáo trình""","Hà N?i : ?H.KTQD, 2011","Vb/92 13884;""Vb/92 13885"";""Vb/92 13886"";""Vb/92 13887"";""Vb/92 13888"";""Vb/92 13889"";""Vb/92 13890"";""Vb/92 13891"";""Vb/92 13892"";""Vb/92 13893"";""Vb/92 13894"";""Vb/92 13895"";""Vb/92 13896"";""Vb/92 13897"";""Vb/92 13898"";""Vb/92 13899"";""Vb/92 13900"";""Vb/92 13901"";""Vb/92 13881"";""Vb/92 13882"";""Vb/92 13883"";""GTL 4741"";""GTL 4742"";""GTL 4743"";""GTL 4744"";""GTL 4745"";""GTL 4746"";""GTL 4747"";""GTL 4748"""
Giáo trình. Ki?m toán tài chính /Nguy?n Quang Quynh, ,"Nguy?n, Quang Quynh", ,"K? toán - Ki?m toán;""Giáo trình"";""Giáo trình ki?m toán tài chính"";""Ki?m toán tài chính""","Hà N?i : ?H.KTQD, 2011","VV00003350;""VV00003349"";""VV00003348"";""VV00003347"";""VV00003346"";""VV00003345"";""VV00003344"";""VV00003343"";""VV00003342"";""VV00003341"";""VV00003340"";""VV00003339"";""VV00003338"";""VV00003337"";""VV00003336"";""VV00003335"";""VV00003334"";""VV00003333"";""VV00003332"""
Giáo trình. Qu?n lý ngu?n nhân l?c trong t? ch?c công / Tr?n Th? Thu, ,"Tr?n, Th? Thu","V?, Hoàng Ngân","Kinh t? lao ??ng;""Qu?n lý ngu?n nhân l?c"";""T? ch?c công"";""Giáo trình""","Hà N?i : ?H.KTQD, 2011","Vb/92 13931;""VV00012714"";""VV00012713"";""VV00012712"";""VV00012711"";""VV00012710"";""VV00012709"";""VV00012708"";""VV00012707"";""VV00012706"";""VV00012715"";""VV00012704"";""VV00012703"";""VV00012702"";""VV00012701"";""VV00012700"";""VV00012699"";""VV00012698"";""VV00012697"";""VV00012696"";""VV00012705"""
Bài t?p th?c hành qu?n tr? kinh doanh (áp d?ng cho h? ?ào t?o v?a làm v?a h?c) / Nguy?n Ng?c Huy?n, ,"Nguy?n, Ng?c Huy?n", ,"Kinh t? doanh nghi?p;""Qu?n tr? kinh doanh"";""Bài t?p"";""Th?c hành""","Hà N?i : ?H.KTQD, 2011","GTL 4765;""GTL 4766"";""GTL 4767"";""GTL 4768"";""GTL 4769"";""GTL 4770"";""GTL 4771"";""GTL 4772"";""VV00004479"";""VV00004478"";""VV00004477"";""VV00004476"";""VV00004475"";""VV00004474"";""VV00004487"";""VV00004472"";""VV00004471"";""VV00004470"";""VV00004469"";""VV00004468"";""VV00004473"";""VV00004486"";""VV00004485"";""VV00004484"";""VV00004483"";""VV00004482"";""VV00004481"";""VV00004480"""
Giáo trình. Thanh toán qu?c t? trong du l?ch / Tr?n Th? Minh Hòa, ,"Tr?n, Th? Minh Hòa", ,"Du l?ch - Khách s?n;""Thanh toán qu?c t? trong du l?ch"";""Giáo trình"";""Du l?ch""","Hà N?i : ?H.KTQD, 2011","Vb/92 13986;""GTL 4774"";""GTL 4775"";""GTL 4776"";""GTL 4777"";""GTL 4778"";""GTL 4779"";""GTL 4780"";""VV00000533"";""VV00000532"";""VV00000531"";""VV00000530"";""VV00000529"";""VV00000541"";""VV00000527"";""VV00000526"";""VV00000525"";""VV00000244"";""VV00000243"";""VV00000528"";""VV00000540"";""VV00000539"";""VV00000538"";""VV00000537"";""VV00000536"";""VV00000535"";""VV00000534"""
Giáo trình. Kinh t? b?o hi?m / Ph?m Th? ??nh, ,"Ph?m, Th? ??nh", ,"Kinh t? b?o hi?m;""Giáo trình"";""Kinh t? b?o hi?m"";""B?o hi?m""","Hà N?i : ?H.KTQD, 2011","GTL 4789;""GTL 4790"";""GTL 4791"";""GTL 4792"";""GTL 4793"";""GTL 4794"";""GTL 4795"";""GTL 4796"";""VV00006790"";""VV00006789"";""VV00006788"";""VV00006787"";""VV00006786"";""VV00007145"";""VV00006784"";""VV00006783"";""VV00006782"";""VV00006781"";""VV00006780"";""VV00006785"";""VV00006800"";""VV00006799"";""VV00006798"";""VV00006797"";""VV00006796"";""VV00006795"";""VV00006791"""
Giáo trình. K? toán qu?n tr? / Nguy?n Ng?c Quang, ,"Nguy?n, Ng?c Quang", ,"K? toán - Ki?m toán;""Giáo trình"";""K? toán qu?n tr?"";""Giáo trình k? toán qu?n tr?""","Hà N?i : ?H.KTQD, 2011","Vb/92 14047;""Vb/92 14048"";""VV00003382"";""VV00003381"";""VV00003380"";""VV00003379"";""VV00003378"";""VV00003377"";""VV00003384"";""VV00003375"";""VV00003374"";""VV00003373"";""VV00003372"";""VV00003371"";""VV00003370"";""VV00003376"";""VV00003383"""
Giáo trình K? thu?t so?n th?o v?n b?n kinh t? và qu?n tr? doanh nghi?p / Ths. L??ng V?n ?c, ,"L??ng, V?n ?c,", ,"Khoa h?c qu?n lý;""So?n th?o v?n b?n"";""Kinh t?"";""Qu?n tr?"";""Doanh nghi?p"";""Giáo trình""","Hà N?i : ?H.KTQD, 2011","VV00007699;""VV00007698"";""VV00007697"";""VV00007696"";""VV00007695"";""VV00007694"";""VV00007693"";""VV00007692"";""VV00007691"";""VV00007690"";""VV00007689"";""VV00007688"";""VV00007687"";""VV00007686"";""VV00007685"";""VV00007684"";""VV00007683"";""VV00007682"";""VV00007681"";""VV00007680"";""VV00007679"""
K? n?ng qu?n tr? / Ngô Kim Thanh, ,"Ngô, Kim Thanh", ,"Kinh t? doanh nghi?p;""Qu?n tr?"";""K? n?ng"";""Kinh doanh""","Hà N?i : ?H.KTQD, 2011","GTL 4813;""GTL 4814"";""GTL 4815"";""GTL 4816"";""GTL 4817"";""GTL 4818"";""GTL 4819"";""GTL 4820"";""VV00004499"";""VV00004498"";""VV00004497"";""VV00004496"";""VV00004495"";""VV00004494"";""VV00004507"";""VV00004492"";""VV00004491"";""VV00004490"";""VV00004489"";""VV00004488"";""VV00004493"";""VV00004506"";""VV00004505"";""VV00004504"";""VV00004503"";""VV00004502"";""VV00004501"";""VV00004500"""
Giáo trình. Phân tích báo cáo tài chính / Nguy?n N?ng Phúc, ,"Nguy?n, N?ng Phúc", ,"K? toán - Ki?m toán;""Giáo trình"";""Phân tích báo cáo tài chính"";""Báo cáo tài chính""","Hà N?i : ?H.KTQD, 2011","VV00004676;""VV00003369"";""VV00003368"";""VV00003367"";""VV00003366"";""VV00003365"";""VV00003364"";""VV00003363"";""VV00003362"";""VV00003361"";""VV00003360"";""VV00003359"";""VV00003358"";""VV00003357"";""VV00003356"";""VV00003355"";""VV00003354"";""VV00003353"";""VV00003352"";""VV00003351"""
Qu?n tr? kinh doanh ???ng ??i (sách tham kh?o) / Lê Công Hoa, ,"Lê, Công Hoa","Nguy?n, Ng?c Huy?n","Kinh t? doanh nghi?p;""Kinh doanh"";""Qu?n tr?"";""???ng ??i""","Hà N?i : ?H.KTQD, 2011","VV00004510;""VV00004509"";""VV00004508"""
H? Chí Minh hành trình ??n th?ng l?i, , , ,"H? Chí Minh;""Hành trình ??n th?ng l?i c?a H? Chí Minh"";""H? Chí Minh"";""S? nghi?p H? Chính Minh"";""Cu?c ??i H? Chí Minh""","Hà N?i : Th? gi?i, 2011",Vb/92 14128
M??i m?t k? ??i h?i ??ng C?ng s?n Vi?t nam. Nh?ng m?c son chói l?i. T?p 1 / TS. Bùi Th? Thu Hà, ,"Bùi, Th? Thu Hà, TS.","Nam H?i;""Giang, Thi?u Thanh""","L?ch s? ??ng;""??ng C?ng s?n Vi?t nam"";""??i h?i"";""L?ch s?""","Hà N?i : T?BK, 2011","Va/92 6571;""Va/92 6569"";""Va/92 6570"""
M??i m?t k? ??i h?i ??ng C?ng s?n Vi?t nam. Nh?ng m?c son chói l?i. T?p 2 / TS. Bùi Th? Thu Hà, ,"Bùi, Th? Thu Hà, TS.","Nam H?i;""Giang, Thi?u Thanh""",L?ch s? ??ng,"Hà N?i : T?BK, 2011","Va/92 6574;""Va/92 6572"";""Va/92 6573"""
??i t??ng t?ng t? l?nh Võ Nguyên Giáp danh t??ng ki?t xu?t m?i th?i ??i / Nguy?n ??c C??ng, ,"Nguy?n, ??c C??ng", ,"L?ch s? ??ng;""Võ Nguyên Giáp"";""Danh t??ng ki?t xu?t""","Hà N?i : Th?i ??i, 2011",Va/92 6575
Ch? t?ch H? Chí Minh & ??i t??ng Võ Nguyên Giáp hai con ng??i làm nên huy?n tho?i. T?p 1: H? Chí Minh / Ph?m Hùng, ,"Ph?m, Hùng", ,"T? t??ng HCM;""H? Chí Minh"";""Ch? t?ch H? Chí Minh"";""Cu?c ??i"";""S? nghi?p""","??ng Nai : Nxb. ??ng Nai, 2011","Va/92 6577;""Va/92 6578"";""Va/92 6579"""
Ch? t?ch H? Chí Minh & ??i t??ng Võ Nguyên Giáp hai con ng??i làm nên huy?n tho?i. T?p 2: ??i t??ng Võ Nguyên Giáp / Ph?m Hùng, ,"Ph?m, Hùng", ,"L?ch s? ??ng;""??i t??ng Võ Nguyên Giáp"";""Cu?c ??i"";""S? nghi?p""","??ng Nai : Nxb. ??ng Nai, 2011","Va/92 6582;""Va/92 6583"";""Va/92 6584"""
"Tin h?c ?ng d?ng (Excel ?ng d?ng trong phân tích ??u t? và tài chính dành cho nhà qu?n tr? tài chính công ty, nhà phân tích và ??u t? tài chính, các sinh viên chuyên ngành kinh t? và tài chính) / ?? Thi?u Anh Tu?n", ,"??, Thi?u Anh Tu?n", ,"Tin h?c;""Tin h?c ?ng d?ng"";""Excel ?ng d?ng"";""Excel trong phân tích ??u t? và tài chính""","Hà N?i : L?XH, 2011","Va/92 6590;""Va/92 6587"";""Va/92 6588"";""Va/92 6589"""
H??ng d?n ôn t?p kinh t? chính tr? Mác-Lênin / Ph?m V?n Hùng, ,"Ph?m, V?n Hùng", ,Kinh t? chính tr? Mác-Lênin,"Hà N?i : ??i h?c Qu?c gia, 1998",Vc 21643/92
"Biên gi?i trên ??t li?n Vi?t Nam - Trung Qu?c. Biên gi?i hoà bình, ?n ??nh, h?u ngh?, h?p tác và phát tri?n", , , ,"Chính tr? xã h?i;""Biên gi?i Vi?t Nam - Trung Qu?c"";""Vi?t Nam - Trung Qu?c"";""??t li?n Vi?t Nam - Trung Qu?c"";""Biên gi?i trên ??t li?n""","Hà N?i : CTQG-S? th?t, 2011",VV00000360
L?ch s? tri?t h?c ph??ng ?ông 1 / Nguy?n ??ng Th?c, ,"Nguy?n, ??ng Th?c", ,"Tri?t h?c ph??ng ?ông;""L?ch s? tri?t h?c"";""Tri?t h?c""","Tp. H? Chí Minh : Nxb. Tp. H? Chí Minh, 1998","Vc 21873/92;""Vc 21874/92"""
Lich s? tri?t h?c ph??ng ?ông 2 / Nguy?n ??ng Th?c, ,"Nguy?n, ??ng Th?c", ,"Tri?t h?c ph??ng ?ông;""L?ch s? tri?t h?c"";""Tri?t h?c""","Tp. H? Chí Minh : Nxb. Tp. H? Chí Minh, 1998","Vc 21883/92;""Vc 21884/92"""
L?ch s? tri?t h?c ph??ng ?ông 3 / Nguy?n ??ng Th?c, ,"Nguy?n, ??ng Th?c", ,"Tri?t h?c ph??ng ?ông;""Tri?t h?c"";""L?ch s? tri?t h?c""","Tp. H? Chí Minh : Nxb. Tp. H? Chí Minh, 1998","Vc 21891/92;""Vc 21894/92"""
L?ch s? tri?t h?c ph??ng ?ông 4 / Nguy?n ??ng Th?c, ,"Nguy?n, ??ng Th?c", ,"L?ch s? tri?t h?c;""Tri?t h?c"";""Tri?t h?c ph??ng ?ông""","Tp. H? Chí Minh : Nxb. Tp. H? Chí Minh, 1998","Vc 21903/92;""Vc 21904/92"""
L?ch s? tri?t h?c ph??ng ?ông 5 / Nguy?n ??ng Th?c, ,"Nguy?n, ??ng Th?c", ,"L?ch s? tri?t h?c;""Tri?t h?c ph??ng ?ông""","Tp. H? Chí Minh : Nxb. Tp. H? Chí Minh, 1998","Vc 21910/92;""Vc 21911/92"""
Sáng t?o trong thu?t toán và l?p trình. Tuy?n t?p các bài toán tin nâng cao cho h?c sinh và sinh viên gi?i . T?p 3 / Nguy?n Xuân Huy, ,"Nguy?n, Xuân Huy", ,"Tin h?c;""Thu?t toán"";""L?p trình"";""Tin h?c"";""Bài toán tin h?c nâng cao""","Hà N?i : Thông tin & truy?n thông, 2011","Vc/92 54180;""Vc/92 54179"""
Ngày này n?m x?a, ,?ài phát thanh và truy?n hình Hà n?i, ,"L?ch s?;""S? ki?n l?ch s?""","Hà N?i : Lao ??ng, 1998",Vc 21940/92
Nâng cao hi?u l?c qu?n lý nhà n??c v? môi tr??ng / PGS.TS Nguy?n Th? Th?m, ,"Nguy?n, Th? Th?m, PGS.TS.","An, Nh? H?i PGS.TS.;""An, Nh? H?i, PGS.TS.""","Kinh t? môi tr??ng;""Môi tr??ng"";""B?o v? môi tr??ng"";""Qu?n lý nhà n??c""","Hà N?i : CTQG-S? th?t, 2011",Vc/92 54682
T? t??ng H? Chí Minh v? ki?m tra giám sát k? lu?t c?a ??ng / Cao V?n Th?ng, ,"Cao, V?n Th?ng", ,"T? t??ng H? Chí Minh;""T? t??ng H? Chí Minh"";""??ng C?ng s?n"";""H? Chí Minh""","Hà N?i : CTQG-S? th?t, 2011","Vc/92 54688;""Vc/92 54686"";""Vc/92 54687"""
Kinh t? t? nhân và vai trò ??ng l?c t?ng tr??ng (sách chuyên kh?o) / TS. V? Hùng C??ng, ,"V?, Hùng C??ng, TS.", ,"Kinh t? phát tri?n;""T?ng tr??ng kinh t?"";""??ng l?c t?ng tr??ng"";""Kinh t? t? nhân""","Hà N?i : KHXH, 2011","Vc/92 54692;""Vc/92 54693"";""Vc/92 54694"";""Vc/92 54695"";""Vc/92 54696"";""Vc/92 54697"";""Vc/92 54689"";""Vc/92 54690"";""Vc/92 54691"""
Giáo trình: Qu?n tr? ngân hàng th??ng m?i / GS.TS. Nguy?n V?n Ti?n, ,"Nguy?n, V?n Ti?n", ,"Ngân hàng - Tài chính;""Ngân hàng th??ng m?i"";""Qu?n tr? r?i ro"";""Giáo trình""","Hà N?i : Th?ng kê, 2012","VV00001955;""VV00001954"";""VV00001953"""
L?ch Vi?t Nam 1901-2010, , , ,"1901-2010;""Vi?t Nam"";""L?ch Vi?t Nam""","Hà N?i : Khoa h?c k? thu?t, 1992",Va 109/92
Th?ng long ?ông ?ô Hà n?i, , , ,"L?ch s?;""Hà n?i"";""L?ch s? Hà n?i""","Hà N?i : S? v?n hoá Thông tin Hà n?i, 1992",Va 112/92
"Tài phán hi?n pháp, m?t s? v?n ?? lý lu?n c? b?n, kinh nghi?m qu?c t? và kh? n?ng áp d?ng cho Vi?t nam (sách chuyên kh?o) / Nguy?n Nh? Phát", ,"Nguy?n, Nh? Phát", ,"Lu?t;""Hi?n pháp"";""Taì phán hi?n pháp"";""Lý lu?n"";""Kinh nghi?m qu?c t?"";""Vi?t nam""","Hà N?i : KHXH, 2011","VV00013938;""VV00013937"""
Kinh t? th? gi?i hai th?p niên ??u th? k? 21: Xu h??ng & tác ??ng ch? y?u / TS. Nguy?n Thanh ??c, ,"Nguy?n, Thanh ??c, TS.", ,"Kinh t? th? gi?i;""Kinh t? th? gi?i"";""Tác ??ng"";""Xu h??ng"";""Th? k? 21""","Hà N?i : KHXH, 2011","Vc/92 54708;""Vc/92 54706"";""Vc/92 54707"""
???ng l?i chính sách ??i ngo?i Vi?t nam trong giai ?o?n m?i (sách tham kh?o) / Ph?m Binh Minh, ,"Ph?m, Binh Minh", ,"Quan h? qu?c t?;""Chính sách ??i ngo?i"";""Vi?t nam""","Hà N?i : CTQG-S? th?t, 2011","VV00013589;""VV00013588"""
"Phát huy vai trò c?a các t? ch?c xã h?i ? Vi?t nam / Thang V?n Phúc, Nguy?n Minh Ph??ng", ,"Thang, V?n Phúc", ,"Chính tr? xã h?i;""T? ch?c xã h?i"";""Chính tr? xã h?i""","Hà N?i : CTQG-S? th?t, 2011","VV00000401;""VV00000400"""
T? chuy?n Richard Branson - ???ng và bi?n l?n. / Richard Branson, ,"Branson, Richard","Nghiêm Huy?n;""Chu, H?ng Th?ng"";""Nhóm d?ch Micronet""","Kinh t? doanh nghi?p;""Richard Branson"";""Cu?c ??i"";""S? nghi?p"";""Th??ng hi?u Virgin""","Hà N?i : Th?i ??i, 2011","VV00004530;""VV00004529"""
Warren Buffett - Quá trình hình thành m?t nhà t? b?n M?. / Rogein Lowenstein, ,"Lowenstein, Rogein","Minh Di?u;""Ph??ng Lan""","Kinh t? doanh nghi?p;""Warren Buffett"";""Cu?c ??i"";""S? nghi?p"";""Nhà t? b?n"";""M?""","Hà N?i : Th?i ??i, 2011","VV00004528;""VV00004527"""
Kinh t? h?c T?p 1 / Begg David, ,Begg David,"Dornbusch Rudiger;""Fischer Stanley""",Kinh t? h?c,"Hà N?i : Giáo d?c, 1992","VV00011128;""VV00011127"""
"Bill Gates tham v?ng l?n lao và quá trình hình thành ?? ch? Microsoft. / James Wallace, Jim Erickson", ,"Wallace, James","Nguy?n, T? Nguyên, d?ch","Kinh t? doanh nghi?p;""Bill Gates"";""Cu?c ??i"";""S? nghi?p"";""?? ch? Microsoft""","Hà N?i : Th?i ??i, 2011","VV00004526;""VV00004525"""
"PR theo ki?u M?: Thúc ??y PR trong th? gi?i công ngh? s?. D?ch: Tr??ng Thúy Anh, Ngô Lan H??ng / Robert L. Dilenschneiden", ,Dilenschneiden Robert L., ,"Marketing;""Marketing"";""PR"";""PR theo ki?u M?"";""Công ngh? s?""","Hà N?i : L?XH, 2012","VV00000952;""VV00000951"";""VV00000950"";""VV00000949"";""VV00000948"";""VV00000947"";""VV00000946"";""VV00000945"";""VV00000944"""
Kinh t? h?c T?p 2 / Begg David, ,Begg David,"Dornbusch Rudiger;""Fischer Stanley""",Kinh t? h?c,"Hà N?i : Giáo d?c, 1992","VV00011138;""VV00011137"";""VV00011136"";""VV00011135"";""VV00011134"";""VV00011133"";""VV00011132"";""VV00011131"";""VV00011130"";""VV00011129"""
Nh?ng cánh ??ng kim c??ng. Con ng??i suy t??ng. ???ng t?i gi?u sang, , , ,"Các lo?i khác;""Cánh ??ng kim c??ng"";""Bí quy?t làm gi?u""","Hà N?i : L?XH, 2011","Vc/92 54746;""Vc/92 54747"";""Vc/92 54748"";""Vc/92 54749"";""Vc/92 54750"";""Vc/92 54751"";""Vc/92 54743"";""Vc/92 54744"""
Th?m h?a toàn c?u. / Bill McGuire, ,McGuire Bill,"Tr?n, H?i Hà, d?ch","Các lo?i khác;""D? báo thiên nhiên""","Hà N?i : Tri th?c, 2011","Vc/92 54755;""Vc/92 54753"";""Vc/92 54754"""
